frame,capture_time,log_time,hmd_position_x,hmd_position_y,hmd_position_z,hmd_rotation_x,hmd_rotation_y,hmd_rotation_z,hmd_rotation_w,gaze_status,combined_gaze_forward_x,combined_gaze_forward_y,combined_gaze_forward_z,combined_gaze_position_x,combined_gaze_position_y,combined_gaze_position_z,inter_pupillary_distance_mm,left_eye_status,left_eye_forward_x,left_eye_forward_y,left_eye_forward_z,left_eye_position_x,left_eye_position_y,left_eye_position_z,left_pupil_iris_ratio,left_pupil_diameter_mm,left_iris_diameter_mm,left_eye_openness,right_eye_status,right_eye_forward_x,right_eye_forward_y,right_eye_forward_z,right_eye_position_x,right_eye_position_y,right_eye_position_z,right_pupil_iris_ratio,right_pupil_diameter_mm,right_iris_diameter_mm,right_eye_openness,focus_distance,focus_stability,time_s,time_ms,sample_dt_ms,gaze_azimuth_deg,gaze_elevation_deg,in_invalid_run,invalid_run_id,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,interpolated_left_pupil,interpolated_right_pupil,excluded
725163,1000003884686906500,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.031,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.879,6.887,0.893,VALID,-0.02,-0.031,0.999,0.028,0,0,0.424,2.738,6.454,0.859,0.8681142,0.3480136,0.055161,55.161,5.018599999999999,-1.1469094417273433,-1.7764537710952644,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725164,1000003884691885900,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.032,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.878,6.887,0.896,VALID,-0.02,-0.032,0.999,0.028,0,0,0.424,2.738,6.454,0.864,0.8639259,0.3286722,0.0601404,60.1404,4.979399999999998,-1.1469094417273433,-1.833778000046647,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725165,1000003884696861800,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.033,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.877,6.887,0.895,VALID,-0.02,-0.033,0.999,0.028,0,0,0.424,2.736,6.454,0.866,0.8494494,0.3640021,0.0651163,65.1163,4.975899999999996,-1.1469094417273433,-1.8911040652841664,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725166,1000003884701902900,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.876,6.887,0.895,VALID,-0.02,-0.034,0.999,0.028,0,0,0.424,2.735,6.454,0.867,0.8364815,0.4116057,0.0701574,70.1574,5.0411,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725167,1000003884706924300,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.876,6.887,0.897,VALID,-0.02,-0.034,0.999,0.028,0,0,0.423,2.732,6.454,0.866,0.826709,0.5144989,0.0751788,75.1788,5.0214,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725168,1000003884711914900,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.417,2.875,6.887,0.896,VALID,-0.02,-0.034,0.999,0.028,0,0,0.423,2.729,6.454,0.868,0.826238,0.5987425,0.0801694,80.1694,4.990600000000001,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725169,1000003884716926700,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.417,2.874,6.887,0.896,VALID,-0.02,-0.034,0.999,0.028,0,0,0.423,2.727,6.454,0.869,0.8258686,0.6014414,0.0851812,85.1812,5.011800000000008,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725170,1000003884721939800,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.417,2.873,6.887,0.896,VALID,-0.02,-0.034,0.999,0.028,0,0,0.422,2.724,6.454,0.87,0.8263748,0.7419555,0.0901943,90.1943,5.013099999999994,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725171,1000003884726968600,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.035,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.417,2.872,6.887,0.896,VALID,-0.02,-0.035,0.999,0.028,0,0,0.422,2.722,6.454,0.87,0.8204506,0.5934829,0.0952231,95.2231,5.028800000000004,-1.1469094417273433,-2.0057619349098257,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725172,1000003884731981700,63875744676001,0,0,0,0,0,0,1,VALID,-0.019,-0.035,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.417,2.869,6.887,0.895,VALID,-0.019,-0.035,0.999,0.028,0,0,0.422,2.72,6.454,0.873,0.8161911,0.5977273,0.1002362,100.2362,5.013099999999994,-1.089578157748161,-2.0057619349098257,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725173,1000003884736994800,63875744676001,0,0,0,0,0,0,1,VALID,-0.019,-0.035,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.416,2.868,6.887,0.894,VALID,-0.019,-0.035,0.999,0.028,0,0,0.421,2.719,6.454,0.873,0.8123772,0.5054353,0.1052493,105.2493,5.0131000000000085,-1.089578157748161,-2.0057619349098257,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725174,1000003884742006600,63875744676001,0,0,0,0,0,0,1,VALID,-0.019,-0.036,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.416,2.866,6.887,0.893,VALID,-0.019,-0.036,0.999,0.028,0,0,0.421,2.717,6.454,0.873,0.8089929,0.4121578,0.1102611,110.2611,5.011799999999994,-1.089578157748161,-2.063093854487329,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
