frame,time_s,left_pupil_diameter_mm,right_pupil_diameter_mm,left_pupil_iris_ratio,right_pupil_iris_ratio,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,interpolated_left_pupil,interpolated_right_pupil
725622,2.3557466,3.118,3.01,0.453,0.466,true,true,true,false,false,false,false,false,false,false
725623,2.3608729,3.117,3.01,0.453,0.466,true,true,true,false,false,false,false,false,false,false
725624,2.3658939,3.115,3.011,0.452,0.467,true,true,true,false,false,false,false,false,false,false
725625,2.3708917,3.113,3.012,0.452,0.467,true,true,true,false,false,false,false,false,false,false
725626,2.3758839,3.111,3.013,0.452,0.467,true,true,true,false,false,false,false,false,false,false
725627,2.3807534,3.109,3.014,0.451,0.467,true,true,true,false,false,false,false,false,false,false
725628,2.3857512,3.106,3.014,0.451,0.467,true,true,true,false,false,false,false,false,false,false
725629,2.3910536,3.104,3.013,0.451,0.467,true,true,true,false,false,false,false,false,false,false
725630,2.396043,3.102,3.01,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725631,2.401064,3.098,3.006,0.45,0.466,true,true,true,false,false,false,false,false,false,false
725632,2.4060534,3.094,2.994,0.449,0.464,true,true,true,false,false,false,false,false,false,false
725633,2.4108619,3.089,2.982,0.449,0.462,true,true,true,false,false,false,false,false,false,false
725634,2.4158513,3.076,2.971,0.447,0.46,true,true,true,false,false,false,false,false,false,false
725635,2.4208538,3.065,2.96,0.445,0.459,true,true,true,false,false,false,false,false,false,false
725636,2.4258769,3.055,2.951,0.444,0.457,true,true,true,false,false,false,false,false,false,false
725637,2.4308794,3.042,2.939,0.442,0.455,true,true,true,false,false,false,false,false,false,false
725638,2.4358908,3.032,2.919,0.44,0.452,true,true,true,false,false,false,false,false,false,false
725639,2.4408933,3.022,2.903,0.439,0.45,true,true,true,false,false,false,false,false,false,false
725640,2.4459609,3.007,2.888,0.437,0.447,true,true,true,false,false,false,false,false,false,false
725641,2.4509634,2.993,2.875,0.435,0.445,true,true,true,false,false,false,false,false,false,false
725642,2.4559846,2.977,2.859,0.432,0.443,true,true,true,false,false,false,false,false,false,false
725643,2.460974,2.956,2.847,0.429,0.441,true,true,true,false,false,false,false,false,false,false
725644,2.4659876,2.934,2.832,0.426,0.439,true,true,true,false,false,false,false,false,false,false
725645,2.4710013,3.029,2.817,0.44,0.437,true,true,true,false,false,false,false,false,false,false
725646,2.4760038,3.04,2.804,0.441,0.435,true,true,true,false,false,false,false,false,false,false
725647,2.4810195,3.04,2.786,0.441,0.432,true,true,true,false,false,false,false,false,false,false
725648,2.4860391,3.035,2.769,0.441,0.429,true,true,true,false,false,false,false,false,false,false
725649,2.4910598,3.02,2.749,0.439,0.426,true,true,true,false,false,false,false,false,false,false
725650,2.4961372,3.018,2.731,0.438,0.423,true,true,true,false,false,false,false,false,false,false
725651,2.5011509,3.035,2.711,0.441,0.42,true,true,true,false,false,false,false,false,false,false
725652,2.5061646,3.046,2.692,0.442,0.417,true,true,true,false,false,false,false,false,false,false
725653,2.5111592,3.055,2.678,0.444,0.415,true,true,true,false,false,false,false,false,false,false
725654,2.5161708,3.064,2.664,0.445,0.413,true,true,true,false,false,false,false,false,false,false
725655,2.5211845,3.055,2.652,0.444,0.411,true,true,true,false,false,false,false,false,false,false
725656,2.5261795,3.016,2.64,0.438,0.409,true,true,true,false,false,false,false,false,false,false
725657,2.5311932,2.975,2.626,0.432,0.407,true,true,true,false,false,false,false,false,false,false
725658,2.5361982,2.933,2.611,0.426,0.405,true,true,true,false,false,false,false,false,false,false
725659,2.5411553,2.899,2.598,0.421,0.403,true,true,true,false,false,false,false,false,false,false
725660,2.5461694,2.879,2.581,0.418,0.4,true,true,true,false,false,false,false,false,false,false
725661,2.551221,2.848,2.563,0.414,0.397,true,true,true,false,false,false,false,false,false,false
725662,2.5562594,2.828,2.545,0.411,0.394,true,true,true,false,false,false,false,false,false,false
725663,2.5612735,2.816,2.53,0.409,0.392,true,true,true,false,false,false,false,false,false,false
725664,2.5662876,2.791,2.515,0.405,0.39,true,true,true,false,false,false,false,false,false,false
725665,2.5713014,2.769,2.5,0.402,0.387,true,true,true,false,false,false,false,false,false,false
725666,2.5763155,2.749,2.486,0.399,0.385,true,true,true,false,false,false,false,false,false,false
725667,2.5813293,2.736,2.472,0.397,0.383,true,true,true,false,false,false,false,false,false,false
725668,2.5863491,2.719,2.459,0.395,0.381,true,true,true,false,false,false,false,false,false,false
725669,2.5913632,2.705,2.446,0.393,0.379,true,true,true,false,false,false,false,false,false,false
725670,2.596377,2.681,2.431,0.389,0.377,true,true,true,false,false,false,false,false,false,false
725671,2.6013911,2.662,2.418,0.387,0.375,true,true,true,false,false,false,false,false,false,false
725672,2.6063804,2.648,2.404,0.384,0.372,true,true,true,false,false,false,false,false,false,false
725673,2.6113945,2.631,2.388,0.382,0.37,true,true,true,false,false,false,false,false,false,false
725674,2.6164083,2.621,2.372,0.381,0.368,true,true,true,false,false,false,false,false,false,false
725675,2.6214224,2.609,2.359,0.379,0.366,true,true,true,false,false,false,false,false,false,false
725676,2.6264243,2.602,2.344,0.378,0.363,true,true,true,false,false,false,false,false,false,false
725677,2.6314384,2.596,2.332,0.377,0.361,true,true,true,false,false,false,false,false,false,false
725678,2.6364525,2.591,2.321,0.376,0.36,true,true,true,false,false,false,false,false,false,false
725679,2.6414763,2.584,2.313,0.375,0.358,true,true,true,false,false,false,false,false,false,false
725680,2.6464904,2.573,2.305,0.374,0.357,true,true,true,false,false,false,false,false,false,false
725681,2.651469,2.554,2.297,0.371,0.356,true,true,true,false,false,false,false,false,false,false
725682,2.6564831,2.531,2.288,0.368,0.354,true,true,true,false,false,false,false,false,false,false
725683,2.6614972,2.511,2.277,0.365,0.353,true,true,true,false,false,false,false,false,false,false
725684,2.6665095,2.487,2.265,0.361,0.351,true,true,true,false,false,false,false,false,false,false
725685,2.6715238,2.474,2.252,0.359,0.349,true,true,true,false,false,false,false,false,false,false
725686,2.6765617,2.464,2.241,0.358,0.347,true,true,true,false,false,false,false,false,false,false
725687,2.6815739,2.456,2.227,0.357,0.345,true,true,true,false,false,false,false,false,false,false
725688,2.6865882,2.445,2.218,0.355,0.344,true,true,true,false,false,false,false,false,false,false
725689,2.6916004,2.43,2.207,0.353,0.342,true,true,true,false,false,false,false,false,false,false
725690,2.6966147,2.416,2.197,0.351,0.34,true,true,true,false,false,false,false,false,false,false
725691,2.7016269,2.408,2.184,0.35,0.338,true,true,true,false,false,false,false,false,false,false
725692,2.7066412,2.399,2.172,0.348,0.337,true,true,true,false,false,false,false,false,false,false
725693,2.7116347,2.389,2.157,0.347,0.334,true,true,true,false,false,false,false,false,false,false
725694,2.716649,2.377,2.147,0.345,0.333,true,true,true,false,false,false,false,false,false,false
725695,2.7216541,2.37,2.137,0.344,0.331,true,true,true,false,false,false,false,false,false,false
725696,2.7266684,2.359,2.129,0.343,0.33,true,true,true,false,false,false,false,false,false,false
725697,2.7316954,2.346,2.12,0.341,0.329,true,true,true,false,false,false,false,false,false,false
725698,2.7367097,2.336,2.11,0.339,0.327,true,true,true,false,false,false,false,false,false,false
725699,2.7417367,2.322,2.102,0.337,0.326,true,true,true,false,false,false,false,false,false,false
725700,2.746751,2.313,2.096,0.336,0.325,true,true,true,false,false,false,false,false,false,false
725701,2.751778,2.306,2.089,0.335,0.324,true,true,true,false,false,false,false,false,false,false
725702,2.7567923,2.296,2.082,0.333,0.323,true,true,true,false,false,false,false,false,false,false
725703,2.7617247,2.286,2.075,0.332,0.322,true,true,true,false,false,false,false,false,false,false
725704,2.766745,2.282,2.068,0.331,0.32,true,true,true,false,false,false,false,false,false,false
725705,2.7717653,2.272,2.06,0.33,0.319,true,true,true,false,false,false,false,false,false,false
725706,2.776742,2.262,2.052,0.328,0.318,true,true,true,false,false,false,false,false,false,false
725707,2.7817657,2.255,2.042,0.327,0.316,true,true,true,false,false,false,false,false,false,false
725708,2.7868011,2.245,2.034,0.326,0.315,true,true,true,false,false,false,false,false,false,false
725709,2.7918298,2.238,2.027,0.325,0.314,true,true,true,false,false,false,false,false,false,false
725710,2.7968863,2.23,2.019,0.324,0.313,true,true,true,false,false,false,false,false,false,false
