frame,time_s,left_pupil_diameter_mm,right_pupil_diameter_mm,left_pupil_iris_ratio,right_pupil_iris_ratio,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,interpolated_left_pupil,interpolated_right_pupil
725219,0.3358108,2.751,2.643,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725220,0.3408444,2.75,2.642,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725221,0.3460024,2.75,2.641,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725222,0.3509848,2.749,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725223,0.3558444,2.749,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725224,0.360878,2.749,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725225,0.3659116,2.748,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725226,0.3709287,2.748,2.639,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725227,0.3759019,2.747,2.639,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725228,0.380919,2.747,2.639,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725229,0.3859438,2.746,2.639,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725230,0.3909609,2.746,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725231,0.395941,2.745,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725232,0.4009581,2.745,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725233,0.4059795,2.745,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725234,0.4110256,2.745,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725235,0.416047,2.745,2.64,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725236,0.4210684,2.745,2.641,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725237,0.4260855,2.745,2.641,0.399,0.409,true,true,true,false,false,false,false,false,false,false
