Frame,CaptureTime,LogTime,HMDPositionX,HMDPositionY,HMDPositionz,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationHuh,GazeStatus,CombinedGazeForwardX,CombinedGazeForwardY,CombinedGazeForwardZ,CombinedGazePositionX,CombinedGazePositionY,CombinedGazePositionZ,InterPupillaryDistanceInMM,LeftEyeStatus,LeftEyeForwardX,LeftEyeForwardY,LeftEyeForwardZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftPupilIrisDiameterRatio,LeftPupilDiameterInMM,LeftIrisDiameterInMM,left Eye Openness,RightEyeStatus,RightEyeForwardX,RightEyeForwardY,RightEyeForwardZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightPupilIrisDiameterRatio,RightPupilDiameterInMM,RightIrisDiameterInMM,Right Eye Openness,FocusDistance,FocusStability
725165,1000003884696861800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.033, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.877,6.887,0.895,VALID,(-0.020, -0.033, 0.999),(0.028, 0.000, 0.000),0.424,2.736,6.454,0.866,0.8494494,0.3640021
725166,1000003884701902900,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.876,6.887,0.895,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.424,2.735,6.454,0.867,0.8364815,0.4116057
725167,1000003884706924300,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.876,6.887,0.897,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.423,2.732,6.454,0.866,0.826709,0.5144989
725168,1000003884711914900,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.417,2.875,6.887,0.896,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.423,2.729,6.454,0.868,0.826238,0.5987425
725169,1000003884716926700,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.417,2.874,6.887,0.896,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.423,2.727,6.454,0.869,0.8258686,0.6014414
725170,1000003884721939800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.417,2.873,6.887,0.896,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.422,2.724,6.454,0.870,0.8263748,0.7419555
725171,1000003884726968600,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.035, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.417,2.872,6.887,0.896,VALID,(-0.020, -0.035, 0.999),(0.028, 0.000, 0.000),0.422,2.722,6.454,0.870,0.8204506,0.5934829
725172,1000003884731981700,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.019, -0.035, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.417,2.869,6.887,0.895,VALID,(-0.019, -0.035, 0.999),(0.028, 0.000, 0.000),0.422,2.720,6.454,0.873,0.8161911,0.5977273
725173,1000003884736994800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.019, -0.035, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.416,2.868,6.887,0.894,VALID,(-0.019, -0.035, 0.999),(0.028, 0.000, 0.000),0.421,2.719,6.454,0.873,0.8123772,0.5054353
725174,1000003884742006600,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.019, -0.036, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.416,2.866,6.887,0.893,VALID,(-0.019, -0.036, 0.999),(0.028, 0.000, 0.000),0.421,2.717,6.454,0.873,0.8089929,0.4121578
